Fault,Va,Vb,Vc,Ia,Ib,Ic
Healthy,25468.27037,-682021.1034,656552.8331,-472.0671456,220.9040452,251.1631004
Healthy,98084.57816,-713283.2395,615198.6614,-468.3305875,180.6339477,287.6966398
Healthy,169830.277,-738214.2226,568383.9457,-460.437605,138.7605969,321.6770081
Healthy,240068.547,-756592.7636,516524.2167,-448.4582568,95.6556635,352.8025933
Healthy,308175.9482,-768255.7333,460079.7851,-432.4988724,51.70175,380.7971224
Healthy,373547.9546,-773099.6102,399551.6556,-412.7011085,7.288994441,405.4121141
Healthy,435604.3197,-771081.3998,335477.0802,-389.2406915,-37.18839243,426.4290839
Healthy,493794.2266,-762219.0159,268424.7893,-362.3258576,-81.33562616,443.6614837
Healthy,547601.1777,-746591.1217,198989.9439,-332.1955047,-124.7608528,456.9563575
Healthy,596547.5788,-724336.4313,127788.8526,-299.1170722,-167.078627,466.1956991
Healthy,640198.9779,-695652.4791,55453.50116,-263.3841663,-207.9133331,471.2974994
Healthy,678167.9224,-660793.8658,-17374.05656,-225.3139551,-246.9025194,472.2164744
Healthy,710117.397,-620069.999,-90047.39806,-185.2443522,-283.7001151,468.9444674
Healthy,735763.8161,-573842.3465,-161921.4696,-143.5310185,-317.9795022,461.5105207
Healthy,754879.5401,-522521.2283,-232358.3119,-100.5442043,-349.4364145,449.9806188
Healthy,767294.8966,-466562.1742,-300732.7224,-56.6654637,-377.791638,434.4571017
Healthy,772899.686,-406461.8808,-366437.8052,-12.28426747,-402.7934899,415.0777574
Healthy,771644.1598,-342753.8026,-428890.3571,32.20545375,-424.220052,392.0145982
Healthy,763539.462,-276003.4169,-487536.0451,76.40880604,-441.8811405,365.4723344
Healthy,748657.5307,-206803.205,-541854.3257,119.9334373,-455.6199944,335.6865571
Healthy,727130.4588,-135767.3927,-591363.0661,162.3930199,-465.3146666,302.9216468
Healthy,699149.3221,-63526.49898,-635622.8232,203.4106795,-470.8791066,267.4684272
Healthy,664962.4833,9278.260854,-674240.7442,242.6223404,-472.2639241,229.6415836
Healthy,624873.3872,82000.66661,-706874.0538,279.6799573,-469.4568271,189.7768698
Healthy,579237.8673,153995.2291,-733233.0963,314.2546041,-462.4827318,148.2281278
Healthy,528460.9878,224622.9194,-753083.9072,346.0393937,-451.4035408,105.3641471
Healthy,472993.4478,293256.8413,-766250.2891,374.7522021,-436.3175936,61.56539146
Healthy,413327.5812,359287.795,-772615.3763,400.1381725,-417.3587942,17.22062177
Healthy,349992.9865,422129.6853,-772122.6718,421.971977,-394.6954224,-27.27655469
Healthy,283551.8259,481224.7231,-764776.549,440.0598175,-368.5286397,-71.53117782
Healthy,214593.836,536048.3766,-750642.2125,454.2411448,-339.0907043,-115.1504405
Healthy,143731.0926,586114.0271,-729845.1198,464.3900846,-306.6429096,-157.747175
Healthy,71592.57866,630977.2885,-702569.8672,470.4165541,-271.4732644,-198.9432897
Healthy,-1181.399415,670239.9513,-669058.5518,472.2670619,-233.8939369,-238.373125
Healthy,-73944.8946,703553.5172,-629608.6226,469.9251829,-194.238484,-275.6866989
Healthy,-146052.053,730622.2927,-584570.2397,463.4117037,-152.8588903,-310.5528135
Healthy,-216862.8463,751206.0134,-534343.1672,452.7844385,-110.1224439,-342.6619946
Healthy,-285748.7529,765121.9769,-479373.224,438.1377155,-66.40847654,-371.7292389
Healthy,-352098.3367,772246.6639,-420148.3272,419.6015401,-22.10499656,-397.4965436
Healthy,-415322.674,772516.8353,-357194.1613,397.3404408,22.39475525,-419.7351961
Healthy,-474860.5811,765930.093,-291069.5118,371.5520086,66.69579595,-438.2478046
Healthy,-530183.5954,752544.9013,-222361.3059,342.4651435,110.4049063,-452.8700499
Healthy,-580800.6659,732480.0684,-151679.4025,310.3380226,153.1341213,-463.4721439
Healthy,-626262.5118,705913.6908,-79651.179,275.4558085,194.5041733,-469.9599817
Healthy,-666165.6107,673081.5739,-6915.963168,238.1281181,234.1478587,-472.2759768
Healthy,-700155.7797,634275.1376,65880.64211,198.6862747,271.7132975,-470.3995722
Healthy,-727931.3198,589838.8308,138092.489,157.4803669,306.8670562,-464.3474231
