Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
K Neighbors Classifier,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1890
Naive Bayes,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0930
Decision Tree Classifier,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1100
Random Forest Classifier,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.2270
Quadratic Discriminant Analysis,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7300
Gradient Boosting Classifier,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,18.8470
Extra Trees Classifier,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5480
Light Gradient Boosting Machine,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,2.7510
Linear Discriminant Analysis,0.2750,0.4857,0.2750,0.2794,0.2422,0.2025,0.2122,0.1370
Ridge Classifier,0.1919,0.0000,0.1919,0.1867,0.1534,0.1111,0.1177,0.1370
Ada Boost Classifier,0.1788,0.7525,0.1788,0.0478,0.0754,0.0967,0.1130,0.9740
Logistic Regression,0.1472,0.4855,0.1472,0.0861,0.0988,0.0619,0.0679,3.3750
SVM - Linear - Kernel,0.1091,0.0000,0.1091,0.0982,0.0838,0.0200,0.0215,1.7230
Dummy Classifier,0.0909,0.5000,0.0909,0.0083,0.0152,0.0000,0.0000,0.0690
